quarter,experimental,experimental_se,surrogate_index,surrogate_index_se,upper_experimental,lower_experimental
6,.13323602,.011693652,.13323602,.011693652,.15616025,.11031178
7,.13046488,.011597672,.1304718,.011497512,.15320095,.10772881
8,.12757029,.011501911,.12657195,.01121824,.15011863,.10502194
9,.12631164,.011429009,.12286498,.01094496,.14871708,.10390621
10,.12315071,.011384563,.1195209,.010697815,.14546899,.10083241
11,.1208923,.011348296,.11641147,.010461716,.1431395,.098645106
12,.11774389,.011290924,.11321037,.010207349,.13987862,.095609166
13,.11484361,.011232659,.11038792,.0099693537,.13686411,.092823103
14,.11229372,.011193042,.10767542,.0097546214,.13423656,.090350881
15,.1099236,.011157166,.1051924,.0095632682,.13179611,.088051096
16,.10543846,.011116526,.10303197,.0093822032,.1272313,.083645627
17,.10340009,.011074917,.10090642,.0092007117,.12511136,.081688821
18,.10156891,.011030254,.098893754,.0090250634,.12319262,.079945207
19,.09912359,.011000337,.097056568,.0088688042,.12068865,.077558532
20,.097538471,.010948253,.095223859,.0087162908,.11900143,.076075517
21,.095306858,.010909356,.093617469,.0085811419,.11669356,.073920161
22,.093059577,.010877983,.092014343,.0084480513,.11438477,.071734384
23,.091489032,.010854653,.090609163,.0083207227,.11276849,.07020957
24,.089630358,.010822526,.089150786,.0081927124,.11084684,.068413876
25,.087616958,.010799003,.087722793,.0080674998,.10878732,.066446595
26,.08456938,.010767958,.08636488,.0079458691,.10567889,.063459873
27,.081693619,.010732005,.084871463,.0078141475,.10273264,.060654595
28,.078789085,.010707857,.083582953,.0076979087,.099780768,.057797402
29,.076318808,.010692409,.082439221,.0075979601,.097280204,.055357412
30,.073650859,.010671803,.081063643,.0074803322,.094571859,.052729856
31,.071872741,.010651628,.079828627,.0073753847,.092754193,.050991289
32,.069545098,.010637732,.078750513,.0072821588,.09039931,.048690889
33,.067560866,.010622995,.077658184,.0071889563,.088386185,.046735547
34,.065265201,.010612544,.07670927,.007104429,.086070031,.044460371
35,.063888252,.010602754,.075770579,.007021626,.084673889,.043102615
36,.062003888,.01059421,.074823484,.006937833,.082772776,.041235
